{section}

{table-plus}
|| User || Type || Enabled || Allowed ||
|dubeya | U | True | False |
|hodgsoni | U | True | False |
|marcusn | U | True | False |
|flavink | U | True | False |
|guzmank | U | True | False |
|williams | U | True | False |
|disneyj | U | True | False |
|holtc | U | True | False |
|rayd | U | True | False |
|cantym | U | True | False |
|haym | U | True | False |
|greene | U | True | False |
|powart | U | True | False |
|marshajo | U | True | False |
|delacruz | U | True | False |
|sancheza | U | True | False |
|127000370 | U | True | False |
|127000269 | U | True | False |
|127002113 | U | True | False |
|127001843 | U | True | False |
|127002244 | U | True | False |
|rappaij | U | True | False |
|hurerf | U | True | False |
|svcunix | U | True | False |
|rudomets | U | True | False |
|taylore | U | True | False |
|kwongj | U | True | False |
|dubeya | U | True | False |
|hodgsoni | U | True | False |
|marcusn | U | True | False |
|flavink | U | True | False |
|guzmank | U | True | False |
|williams | U | True | False |
|disneyj | U | True | False |
|holtc | U | True | False |
|rayd | U | True | False |
